Model,Accuracy_mean,Accuracy_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Brier_mean,Brier_std,LogLoss_mean,LogLoss_std,MCC_mean,MCC_std,Kappa_mean,Kappa_std,ECE_mean,ECE_std,TP_mean,TP_std,FP_mean,FP_std,TN_mean,TN_std,FN_mean,FN_std
LogReg_L2,0.9954586589880707,0.005567029741521106,0.9864795918367347,0.01924663703508853,0.9833043478260869,0.022894514412193423,0.975,0.03726779962499651,0.9979591836734644,0.0027945028444141262,0.978897090751194,0.026061295530308986,0.9911566784074036,0.019537481855349786,0.9875391254824976,0.02601332378594033,0.0043570626205139615,0.0038967091622761733,0.04700866555057099,0.08038076473322253,0.9765134089880458,0.02906903500233925,0.976353805073684,0.029175710581780548,0.006602162794422456,0.00260203672643667,23.2,0.8366600265340756,0.4,0.5477225575051662,196.0,1.0,0.6,0.8944271909999159
LogReg_L1,0.9954586589880708,0.0032141348942113326,0.9901360544217688,0.01126259379627325,0.9756666666666666,0.022223611067711053,0.9833333333333334,0.022821773229381902,0.996938775510199,0.0027945028444141466,0.979248082211608,0.014735844341600938,0.9998724489795918,0.00019014183482134883,0.9989861111111111,0.0015179608845136904,0.0032031196387029906,0.0022803631298935266,0.013882341473834653,0.007550191036043566,0.9768575066665356,0.016540125496491098,0.9766990629541258,0.016538986832700844,0.005504338317120896,0.0021447789253436008,23.4,0.5477225575051661,0.6,0.5477225575051661,195.8,1.0954451150103321,0.4,0.5477225575051662
SVM_Linear,0.9936404771698889,0.0024934172520636616,0.985461773541904,0.010998103753797131,0.967,0.018461672008063975,0.975,0.0228217732293819,0.9959235470838032,0.002278834051044522,0.9707410623823997,0.011332202461322802,0.9905541868038321,0.01944083689092775,0.982187126817726,0.026606205593807886,0.006128087835983028,0.002866691370660386,0.036254995478632424,0.03723804986671021,0.9673365643176275,0.012880747952273439,0.9671742562511232,0.012732844165775291,0.00943746984320351,0.002971041709592757,23.2,0.4472135954999579,0.8,0.44721359549995804,195.6,0.8944271909999159,0.6,0.5477225575051661
SVM_RBF,0.9900082270670506,0.009855276470974849,0.964954895001479,0.043213377923485084,0.974,0.024083189157584613,0.9329710144927535,0.08627449927384537,0.996938775510199,0.0027945028444141466,0.9514239108027928,0.050035066948844645,0.998934043933177,0.0015534253088515932,0.9887772981391485,0.018431018708385108,0.007889006681994288,0.004589096472319988,0.030116748041197638,0.017292814814177458,0.9471430213361101,0.0536693670080714,0.9458848494418934,0.05543897505372787,0.01638212493235671,0.003081367341016643,22.2,2.0493901531919194,0.6,0.5477225575051661,195.8,1.0954451150103321,1.6,2.073644135332772
RandomForest,0.9972768408062527,0.0024859070444342496,0.9948129251700679,0.008839039279906747,0.984,0.021908902300206663,0.9916666666666668,0.01863389981249823,0.9979591836734644,0.0027945028444141262,0.9875814155449414,0.011342107199196224,0.9999149659863946,0.00019014183482141708,0.9993194444444444,0.0015217684846873217,0.0033766663924310976,0.001285937337788376,0.024561175429367733,0.00411766583492338,0.9862112481631342,0.012591838710875283,0.9860528044507244,0.012736633776331215,0.021285643767996708,0.003220578321929121,23.6,0.5477225575051661,0.4,0.5477225575051662,196.0,1.0,0.2,0.44721359549995804
GradientBoosting,0.9981859317153436,0.0024840259446587123,0.9953231292517006,0.009099036802309788,0.992,0.017888543819998333,0.9916666666666668,0.01863389981249823,0.9989795918367296,0.002281702017856931,0.9916630481980026,0.011419969654095242,0.9958333333333333,0.009316949906249091,0.9925716440422324,0.016610308882634175,0.0014745496794829175,0.002104357540399589,0.012503189718721802,0.024153348954634966,0.990752603860425,0.012665864839521767,0.9906457063296388,0.01281235669352054,0.0016309774917131412,0.002245684794882386,23.6,0.5477225575051661,0.2,0.44721359549995804,196.2,0.8366600265340756,0.2,0.44721359549995804
GaussianNB,0.9236733854380914,0.02333689450203284,0.750036239390923,0.0541962844389928,0.7232804232804233,0.1853513993296196,0.528623188405797,0.10843416615160513,0.9714492903760441,0.024102121877468054,0.6010117094946816,0.10690160362031058,0.943368928072222,0.03713499276709838,0.7055715225445929,0.15051549686542137,0.07103327846732793,0.024130628846635936,1.138238853986556,0.6449695734944715,0.5741308196070254,0.12533932240804113,0.5602309699326781,0.11855051087579421,0.0639897670634905,0.01782324402884612,12.6,2.701851217221259,5.6,4.722287581247038,190.8,5.11859355682789,11.2,2.4899799195977463
MLP_64_32,0.9872809543397778,0.0087476517382403,0.9484387034442998,0.0355861552542103,0.9816666666666667,0.02527625148017184,0.8989130434782607,0.07024922253036375,0.9979643634103337,0.002787425237099755,0.9374894796989972,0.044732190116270394,0.9889756432257301,0.020378726743420703,0.977393718576583,0.025783721638900973,0.011424300135368607,0.005597372468757691,0.08027105890457739,0.08150729613459488,0.9321513649687038,0.047797905510944566,0.9304468294600087,0.04951768448490735,0.025458751481814822,0.006486450638735429,21.4,1.8165902124584952,0.4,0.5477225575051662,196.0,0.7071067811865476,2.4,1.6733200530681511
XGBoost,0.9981818181818183,0.0024896479886598317,0.9989795918367348,0.0013972514222070427,0.984,0.021908902300206663,1.0,0.0,0.9979591836734644,0.0027945028444141262,0.9918367346938777,0.011178011377656465,0.9998724489795918,0.0002852127522321008,0.9989571256038646,0.0023319380417524166,0.0017799021471978011,0.002034651121396954,0.008641882687595803,0.007620707635841053,0.9909172886054186,0.012437014785303428,0.9908141962421713,0.012578179817446425,0.004142478862786213,0.0018909899436587757,23.8,0.4472135954999579,0.4,0.5477225575051662,196.0,1.0,0.0,0.0
CatBoost,0.9981859317153436,0.0024840259446587123,0.9953231292517006,0.009099036802309788,0.992,0.017888543819998333,0.9916666666666668,0.01863389981249823,0.9989795918367296,0.002281702017856931,0.9916630481980026,0.011419969654095242,1.0,0.0,0.9999999999999998,1.3597399555105182e-16,0.001954887875909886,0.002288939980365429,0.008994697604047325,0.010572508531902424,0.990752603860425,0.012665864839521767,0.9906457063296388,0.01281235669352054,0.0024217763119414233,0.001971183755669529,23.6,0.5477225575051661,0.2,0.44721359549995804,196.2,0.8366600265340756,0.2,0.44721359549995804
